ExtractDate,FHRSID,BusinessName,BusinessType,BusinessTypeID,AddressLine2,AddressLine3,PostCode,RatingDate,Longitude,Latitude
2/14/2014,31091,John Paul II Primary School,Restaurant/Cafe/Canteen,1,29 Dunagoil Road,Glasgow,,10/29/2013,-4.23440874,55.80011845
2/14/2014,315990,Jordanhill Bowling Club,Restaurant/Cafe/Canteen,1,112 Randolph Road,Glasgow,G11 7DU,4/13/2012,-4.32395,55.879837
2/14/2014,26979,Jules,Restaurant/Cafe/Canteen,1,328 Argyle Street,Glasgow,G2 8LY,12/16/2009,-4.261711,55.859031
2/14/2014,33840,Juliane,Restaurant/Cafe/Canteen,1,117 Moss Side Road,Glasgow,G41 3UP,5/4/2010,-4.285862,55.832467
2/14/2014,36098,Jumpin' Jaks,Restaurant/Cafe/Canteen,1,292 Sauchiehall Street,Glasgow,G2 3JA,7/24/2010,-4.263684,55.865763
2/14/2014,29455,Jurassic Jungle,Restaurant/Cafe/Canteen,1,29 Saracen Street,Glasgow,G22 5HT,6/17/2013,-4.25528,55.879308
2/14/2014,27043,K Street Cafe,Restaurant/Cafe/Canteen,1,1 Kay Street,Glasgow,G21 1JY,11/11/2013,-4.230098,55.884036
2/14/2014,315926,K V T A Bath Street,Restaurant/Cafe/Canteen,1,104 Bath Street,Glasgow,G2 2EN,3/26/2012,-4.258163,55.864264
2/14/2014,585886,Ka Ka Lok,Restaurant/Cafe/Canteen,1,175 St Georges Road,Glasgow,G3 6JD,9/9/2013,-4.269402,55.869792
2/14/2014,618959,Kabana Restaurant,Restaurant/Cafe/Canteen,1,64 Seaward Street,Glasgow,G41 1HL,11/12/2013,-4.277816,55.852982
2/14/2014,589591,Kama Sutra Restaurant,Restaurant/Cafe/Canteen,1,331 Sauchiehall Street,Glasgow,G2 3HW,9/26/2013,-4.265169,55.865457
2/14/2014,562669,Kandy Krunch,Restaurant/Cafe/Canteen,1,54 Calton Entry,Glasgow,G40 2SB,6/19/2013,-4.236991,55.854603
2/14/2014,193932,Karemore West End Out Of School Club,Restaurant/Cafe/Canteen,1,110 Otago Street,Glasgow,G12 8NR,1/26/2012,-4.301699,55.881588
2/14/2014,118824,Katrina's Cafe (within Intercity Motor Auctions),Restaurant/Cafe/Canteen,1,77 Melbourne Street,Glasgow,G31 1BQ,5/24/2012,-4.23149,55.858154
2/14/2014,18426,Kebabish Grill,Restaurant/Cafe/Canteen,1,323 Victoria Road,Glasgow,G42 7SA,12/14/2013,-4.263854,55.838186
2/14/2014,65030,Kelvindale Bowling Club,Restaurant/Cafe/Canteen,1,91 Baronald Drive,Glasgow,G12 0HP,7/27/2010,-4.302954,55.890594
